Voltage (mV),Effective BER,Static Power (mW),Access Energy (nJ)
1000,9.4915E-11,5037.42579,0.17692
990,4.8596E-11,4922.44569,0.17652
980,7.2898E-11,4805.40554,0.17611
970,1.0905E-10,4693.36533,0.17570
960,1.6266E-10,4582.74502,0.17530
950,2.4195E-10,4477.00457,0.17489
940,3.5884E-10,4375.98393,0.17449
930,5.3066E-10,4276.26300,0.17408
920,7.8244E-10,4177.86168,0.17368
910,1.1503E-09,4080.73978,0.17328
900,1.6859E-09,3988.15708,0.17287
890,2.4635E-09,3896.79325,0.17247
880,3.5887E-09,3808.56782,0.17206
870,5.2117E-09,3721.50016,0.17166
860,7.5450E-09,3636.22939,0.17126
850,1.0888E-08,3553.97429,0.17085
840,1.5663E-08,3473.13320,0.17045
830,2.2459E-08,3393.38387,0.17005
820,3.2099E-08,3315.64318,0.16964
810,4.5725E-08,3239.84694,0.16924
800,6.4918E-08,3164.80957,0.16884
790,9.1859E-08,3092.26333,0.16844
780,1.2954E-07,3020.97815,0.16804
770,1.8205E-07,2950.98052,0.16763
760,2.5495E-07,2882.21255,0.16723
750,3.5580E-07,2815.17032,0.16683
740,4.9479E-07,2748.46366,0.16643
730,6.8562E-07,2684.44988,0.16603
720,9.4662E-07,2620.41894,0.16563
710,1.3022E-06,2558.35952,0.16523
700,1.7848E-06,2496.60678,0.16483
690,2.4370E-06,2435.58815,0.16443
680,3.3152E-06,2375.14202,0.16403
670,4.4926E-06,2315.54619,0.16363
660,6.0649E-06,2255.60529,0.16323
650,8.1558E-06,2196.43719,0.16283
640,1.0924E-05,2136.52654,0.16243
630,1.4575E-05,2075.67982,0.16203
620,1.9368E-05,2013.62232,0.16163
610,2.5634E-05,1949.13857,0.16123
600,3.3787E-05,1882.83424,0.16083
590,4.4351E-05,1812.57575,0.16043
580,5.7976E-05,1738.46165,0.16004
570,7.5467E-05,1659.97833,0.15964
560,9.7817E-05,1576.05872,0.15924
550,1.2624E-04,1486.51142,0.15884
540,1.6222E-04,1392.30108,0.15845
530,2.0753E-04,1293.56526,0.15805
520,2.6433E-04,1192.13358,0.15765
510,3.3515E-04,1090.91323,0.15725
500,4.2302E-04,993.78370,0.15686
490,5.3148E-04,904.49737,0.15646
480,6.6463E-04,827.64316,0.15606
470,8.2722E-04,766.19990,0.15567
460,1.0247E-03,721.40814,0.15527
450,1.2631E-03,692.23279,0.15488
440,1.5493E-03,675.65781,0.15448
430,1.8910E-03,667.64373,0.15409
420,2.2963E-03,664.45161,0.15369
410,2.7741E-03,663.43824,0.15330
400,3.3337E-03,663.19180,0.15290
390,3.9849E-03,663.14791,0.15251
380,4.7373E-03,663.14247,0.15211
370,5.6005E-03,663.14202,0.15172
360,6.5836E-03,663.14200,0.15132
350,7.6943E-03,663.14200,0.15093
340,8.9391E-03,663.14200,0.15054
330,1.0322E-02,663.14200,0.15014
320,1.1845E-02,663.14200,0.14975
310,1.3507E-02,663.14200,0.14936
300,1.5300E-02,663.14200,0.14896
290,1.7215E-02,663.14200,0.14857
280,1.9236E-02,663.14200,0.14818
270,2.1342E-02,663.14200,0.14779
260,2.3506E-02,663.14200,0.14739
250,2.5695E-02,663.14200,0.14700
240,2.7872E-02,663.14200,0.14661
230,2.9993E-02,663.14200,0.14622
220,3.2014E-02,663.14300,0.14583
210,3.3884E-02,663.14240,0.14544
200,3.5555E-02,663.14180,0.14504
190,3.6979E-02,663.14100,0.14465
180,3.8112E-02,663.14260,0.14426
170,3.8913E-02,663.14160,0.14387
160,3.9353E-02,663.14280,0.14348
150,3.9408E-02,663.14300,0.14309
140,3.9068E-02,663.14100,0.14270
130,3.8334E-02,663.14260,0.14231
120,3.7219E-02,663.14240,0.14192
110,3.5748E-02,663.14140,0.14153
100,3.3959E-02,663.14160,0.14114
