Voltage (mV),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,4.8597E-08,157.35671,0.02607
990,7.3478E-08,153.76351,0.02596
980,1.1080E-07,150.10591,0.02585
970,1.6663E-07,146.60430,0.02575
960,2.4992E-07,143.14789,0.02564
950,3.7379E-07,139.84308,0.02553
940,5.5752E-07,136.68626,0.02542
930,8.2922E-07,133.57043,0.02531
920,1.2298E-06,130.49498,0.02521
910,1.8188E-06,127.46033,0.02510
900,2.6819E-06,124.56684,0.02499
890,3.9433E-06,121.71192,0.02488
880,5.7807E-06,118.95435,0.02478
870,8.4491E-06,116.23371,0.02467
860,1.2312E-05,113.56938,0.02456
850,1.7887E-05,110.99850,0.02446
840,2.5906E-05,108.47205,0.02435
830,3.7405E-05,105.98033,0.02424
820,5.3839E-05,103.55066,0.02414
810,7.7249E-05,101.18210,0.02403
800,1.1048E-04,98.83748,0.02392
790,1.5751E-04,96.57016,0.02382
780,2.2382E-04,94.34282,0.02371
770,3.1700E-04,92.15505,0.02360
760,4.4749E-04,90.00587,0.02350
750,6.2956E-04,87.91075,0.02339
740,8.8270E-04,85.82655,0.02328
730,1.2334E-03,83.82612,0.02318
720,1.7173E-03,81.82510,0.02307
710,2.3827E-03,79.88547,0.02297
700,3.2939E-03,77.95597,0.02286
690,4.5368E-03,76.04909,0.02276
680,6.2250E-03,74.16000,0.02265
670,8.5083E-03,72.29760,0.02255
660,1.1582E-02,70.42437,0.02244
650,1.5701E-02,68.57558,0.02234
640,2.1192E-02,66.70346,0.02223
630,2.8469E-02,64.80201,0.02213
620,3.8056E-02,62.86251,0.02202
610,5.0600E-02,60.84747,0.02192
600,6.6884E-02,58.77547,0.02181
590,8.7838E-02,56.57997,0.02171
580,1.1452E-01,54.26385,0.02160
570,1.4809E-01,51.81133,0.02150
560,1.8972E-01,49.18874,0.02139
550,2.4046E-01,46.39042,0.02129
540,3.0103E-01,43.44633,0.02118
530,3.7155E-01,40.36089,0.02108
520,4.5117E-01,37.19116,0.02098
510,5.3782E-01,34.02798,0.02087
500,6.2796E-01,30.99267,0.02077
490,7.1676E-01,28.20248,0.02067
480,7.9865E-01,25.80080,0.02056
470,8.6837E-01,23.88069,0.02046
460,9.2229E-01,22.48094,0.02036
450,9.5944E-01,21.56920,0.02025
440,9.8176E-01,21.05124,0.02015
430,9.9313E-01,20.80080,0.02005
420,9.9791E-01,20.70097,0.01994
410,9.9950E-01,20.66938,0.01984
400,9.9991E-01,20.66166,0.01974
390,9.9999E-01,20.66026,0.01963
380,1.0000E+00,20.66017,0.01953
370,1.0000E+00,20.66010,0.01943
360,1.0000E+00,20.66004,0.01933
350,1.0000E+00,20.66006,0.01922
340,1.0000E+00,20.66018,0.01912
330,1.0000E+00,20.66016,0.01902
320,1.0000E+00,20.66014,0.01892
310,1.0000E+00,20.66012,0.01882
300,1.0000E+00,20.66022,0.01871
290,1.0000E+00,20.66014,0.01861
280,1.0000E+00,20.66012,0.01851
270,1.0000E+00,20.66012,0.01841
260,1.0000E+00,20.66014,0.01831
250,1.0000E+00,20.66012,0.01821
240,1.0000E+00,20.66012,0.01811
230,1.0000E+00,20.66012,0.01800
220,1.0000E+00,20.66012,0.01790
210,1.0000E+00,20.66012,0.01780
200,1.0000E+00,20.66014,0.01770
190,1.0000E+00,20.66012,0.01760
180,1.0000E+00,20.66012,0.01750
170,1.0000E+00,20.66012,0.01740
160,1.0000E+00,20.66012,0.01730
150,1.0000E+00,20.66014,0.01720
140,1.0000E+00,20.66012,0.01710
130,1.0000E+00,20.66012,0.01700
120,1.0000E+00,20.66012,0.01690
110,1.0000E+00,20.66012,0.01680
100,1.0000E+00,20.66013,0.01670
