Voltage (mV),Effective Block Error Rate (PMF),Static Power (mW),Access Energy (nJ)
1000,4.8597E-08,5037.42579,0.17692
990,2.4881E-08,4922.44569,0.17652
980,3.7324E-08,4805.40554,0.17611
970,5.5832E-08,4693.36533,0.17570
960,8.3283E-08,4582.74502,0.17530
950,1.2388E-07,4477.00457,0.17489
940,1.8373E-07,4375.98393,0.17449
930,2.7170E-07,4276.26300,0.17408
920,4.0061E-07,4177.86168,0.17368
910,5.8893E-07,4080.73978,0.17328
900,8.6319E-07,3988.15708,0.17287
890,1.2613E-06,3896.79325,0.17247
880,1.8374E-06,3808.56782,0.17206
870,2.6684E-06,3721.50016,0.17166
860,3.8630E-06,3636.22939,0.17126
850,5.5748E-06,3553.97429,0.17085
840,8.0194E-06,3473.13320,0.17045
830,1.1499E-05,3393.38387,0.17005
820,1.6434E-05,3315.64318,0.16964
810,2.3410E-05,3239.84694,0.16924
800,3.3235E-05,3164.80957,0.16884
790,4.7025E-05,3092.26333,0.16844
780,6.6311E-05,3020.97815,0.16804
770,9.3182E-05,2950.98052,0.16763
760,1.3049E-04,2882.21255,0.16723
750,1.8207E-04,2815.17032,0.16683
740,2.5314E-04,2748.46366,0.16643
730,3.5067E-04,2684.44988,0.16603
720,4.8395E-04,2620.41894,0.16563
710,6.6536E-04,2558.35952,0.16523
700,9.1121E-04,2496.60678,0.16483
690,1.2429E-03,2435.58815,0.16443
680,1.6883E-03,2375.14202,0.16403
670,2.2833E-03,2315.54619,0.16363
660,3.0741E-03,2255.60529,0.16323
650,4.1189E-03,2196.43719,0.16283
640,5.4903E-03,2136.52654,0.16243
630,7.2775E-03,2075.67982,0.16203
620,9.5872E-03,2013.62232,0.16163
610,1.2544E-02,1949.13857,0.16123
600,1.6284E-02,1882.83424,0.16083
590,2.0954E-02,1812.57575,0.16043
580,2.6684E-02,1738.46165,0.16004
570,3.3570E-02,1659.97833,0.15964
560,4.1629E-02,1576.05872,0.15924
550,5.0739E-02,1486.51142,0.15884
540,6.0571E-02,1392.30108,0.15845
530,7.0514E-02,1293.56526,0.15805
520,7.9625E-02,1192.13358,0.15765
510,8.6647E-02,1090.91323,0.15725
500,9.0143E-02,993.78370,0.15686
490,8.8802E-02,904.49737,0.15646
480,8.1888E-02,827.64316,0.15606
470,6.9718E-02,766.19990,0.15567
460,5.3918E-02,721.40814,0.15527
450,3.7157E-02,692.23279,0.15488
440,2.2312E-02,675.65781,0.15448
430,1.1374E-02,667.64373,0.15409
420,4.7766E-03,664.45161,0.15369
410,1.5967E-03,663.43824,0.15330
400,4.0858E-04,663.19180,0.15290
390,7.6567E-05,663.14791,0.15251
380,9.9979E-06,663.14247,0.15211
370,8.6028E-07,663.14202,0.15172
360,4.5831E-08,663.14200,0.15132
350,1.4102E-09,663.14200,0.15093
340,2.3198E-11,663.14200,0.15054
330,1.8729E-13,663.14200,0.15014
320,0.0000E+00,663.14200,0.14975
310,0.0000E+00,663.14200,0.14936
300,0.0000E+00,663.14200,0.14896
290,0.0000E+00,663.14200,0.14857
280,0.0000E+00,663.14200,0.14818
270,0.0000E+00,663.14200,0.14779
260,0.0000E+00,663.14200,0.14739
250,0.0000E+00,663.14200,0.14700
240,0.0000E+00,663.14200,0.14661
230,0.0000E+00,663.14200,0.14622
220,0.0000E+00,663.14300,0.14583
210,0.0000E+00,663.14240,0.14544
200,0.0000E+00,663.14180,0.14504
190,0.0000E+00,663.14100,0.14465
180,0.0000E+00,663.14260,0.14426
170,0.0000E+00,663.14160,0.14387
160,0.0000E+00,663.14280,0.14348
150,0.0000E+00,663.14300,0.14309
140,0.0000E+00,663.14100,0.14270
130,0.0000E+00,663.14260,0.14231
120,0.0000E+00,663.14240,0.14192
110,0.0000E+00,663.14140,0.14153
100,0.0000E+00,663.14160,0.14114
