Voltage (mV),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,4.8597E-08,19638.77115,0.36184
990,7.3478E-08,19178.85075,0.36106
980,1.1080E-07,18710.65016,0.36027
970,1.6663E-07,18262.44931,0.35949
960,2.4992E-07,17820.04808,0.35870
950,3.7379E-07,17397.00630,0.35792
940,5.5752E-07,16992.96372,0.35713
930,8.2922E-07,16594.08002,0.35635
920,1.2298E-06,16200.47471,0.35556
910,1.8188E-06,15812.02714,0.35478
900,2.6819E-06,15441.65633,0.35399
890,3.9433E-06,15076.24100,0.35321
880,5.7807E-06,14723.25927,0.35242
870,8.4491E-06,14375.02864,0.35164
860,1.2312E-05,14033.98558,0.35085
850,1.7887E-05,13704.88516,0.35007
840,2.5906E-05,13381.52081,0.34929
830,3.7405E-05,13062.56348,0.34850
820,5.3839E-05,12751.60074,0.34772
810,7.7249E-05,12448.41575,0.34694
800,1.1048E-04,12148.30630,0.34616
790,1.5751E-04,11858.08133,0.34537
780,2.2382E-04,11572.98060,0.34459
770,3.1700E-04,11292.95009,0.34381
760,4.4749E-04,11017.83822,0.34303
750,6.2956E-04,10749.66927,0.34224
740,8.8270E-04,10482.88259,0.34146
730,1.2334E-03,10226.86756,0.34068
720,1.7173E-03,9970.70377,0.33990
710,2.3827E-03,9722.42605,0.33912
700,3.2939E-03,9475.45514,0.33834
690,4.5368E-03,9231.38055,0.33756
680,6.2250E-03,8989.59608,0.33678
670,8.5083E-03,8751.17268,0.33600
660,1.1582E-02,8511.40916,0.33522
650,1.5701E-02,8274.77700,0.33444
640,2.1192E-02,8035.13450,0.33366
630,2.8469E-02,7791.76327,0.33288
620,3.8056E-02,7543.50096,0.33210
610,5.0600E-02,7285.57348,0.33132
600,6.6884E-02,7020.34843,0.33054
590,8.7838E-02,6739.34699,0.32976
580,1.1452E-01,6442.87645,0.32898
570,1.4809E-01,6128.95049,0.32821
560,1.8972E-01,5793.27888,0.32743
550,2.4046E-01,5435.05577,0.32665
540,3.0103E-01,5058.23713,0.32587
530,3.7155E-01,4663.29497,0.32509
520,4.5117E-01,4257.55250,0.32432
510,5.3782E-01,3852.66709,0.32354
500,6.2796E-01,3464.17881,0.32276
490,7.1676E-01,3107.01459,0.32199
480,7.9865E-01,2799.59264,0.32121
470,8.6837E-01,2553.82414,0.32043
460,9.2229E-01,2374.65627,0.31966
450,9.5944E-01,2257.96300,0.31888
440,9.8176E-01,2191.65918,0.31810
430,9.9313E-01,2159.59893,0.31733
420,9.9791E-01,2146.83445,0.31655
410,9.9950E-01,2142.77695,0.31578
400,9.9991E-01,2141.79518,0.31500
390,9.9999E-01,2141.61966,0.31423
380,1.0000E+00,2141.59387,0.31345
370,1.0000E+00,2141.59209,0.31268
360,1.0000E+00,2141.59200,0.31190
350,1.0000E+00,2141.59600,0.31113
340,1.0000E+00,2141.59200,0.31036
330,1.0000E+00,2141.59200,0.30958
320,1.0000E+00,2141.59200,0.30881
310,1.0000E+00,2141.59200,0.30803
300,1.0000E+00,2141.59600,0.30726
290,1.0000E+00,2141.59600,0.30649
280,1.0000E+00,2141.59600,0.30572
270,1.0000E+00,2141.59200,0.30494
260,1.0000E+00,2141.59200,0.30417
250,1.0000E+00,2141.59200,0.30340
240,1.0000E+00,2141.59600,0.30263
230,1.0000E+00,2141.59600,0.30185
220,1.0000E+00,2141.59200,0.30108
210,1.0000E+00,2141.59200,0.30031
200,1.0000E+00,2141.59200,0.29954
190,1.0000E+00,2141.59200,0.29877
180,1.0000E+00,2141.59600,0.29800
170,1.0000E+00,2141.59600,0.29723
160,1.0000E+00,2141.59600,0.29646
150,1.0000E+00,2141.59200,0.29569
140,1.0000E+00,2141.59200,0.29492
130,1.0000E+00,2141.59440,0.29414
120,1.0000E+00,2141.59320,0.29338
110,1.0000E+00,2141.59400,0.29261
100,1.0000E+00,2141.59400,0.29184
